Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
---------------------------------------------------------------------------------------------------------
CSC3258    | Sichuan Airlines                         | 2026-02-11 23:35     | BHY      | A319     | B-6433
CES2193    | China Eastern Airlines                   | 2026-02-11 23:35     | PVG      | A20N     | B-307J
HXA2770    | China Express Airlines                   | 2026-02-11 23:35     | JUZ      | A20N     | B-326N
CSZ9225    | Shenzhen Airlines                        | 2026-02-11 23:35     | CAN      | A20N     | B-309P
CHH7878    | Hainan Airlines                          | 2026-02-11 23:40     | SYX      | B38M     | B-225R
CBJ5510    | Capital Airlines                         | 2026-02-11 23:40     | CSX      | A320     | B-1603
CES2122    | China Eastern (SkyTeam Livery            | 2026-02-11 23:40     | PKX      | A321     | B-8977
TBA9996    | Tibet Airlines                           | 2026-02-11 23:40     | SHE      | A19N     | B-32C1
GCR7690    | Tianjin Airlines                         | 2026-02-11 23:45     | ZUH      | A320     | B-1052
CGN8358    | Air Changan                              | 2026-02-11 23:45     | CGQ      | B738     | B-1483
CDC8529    | Loong Air                                | 2026-02-11 23:50     | NGB      | A20N     | B-32CN
CDC8938    | Loong Air                                | 2026-02-11 23:50     | SKD      | A20N     | B-30DH
CSN3217    | China Southern Airlines                  | 2026-02-11 23:50     | CAN      | B738     | B-5596
GCR7632    | Tianjin Airlines                         | 2026-02-11 23:50     | TVS      | E190     | B-3171
CSN3793    | China Southern Airlines                  | 2026-02-11 23:55     | SZX      | B738     | B-5468
CSN6415    | China Southern Airlines                  | 2026-02-11 23:55     | SHE      | A21N     | B-303X
HU6286     | Hainan Airlines                          | 2026-02-11 23:55     | HAK      | B738     | B-5662
CGN6036    | Air Changan                              | 2026-02-11 23:55     | NGB      | B738     | B-5581
DV781      | SCAT                                     | 2026-02-12 00:05     | CIT      | 7M8      | N/A
CHH7504    | Hainan Airlines                          | 2026-02-12 00:05     | NKG      | B738     | B-1102
CES2140    | China Eastern Airlines                   | 2026-02-12 00:05     | SYX      | A332     | B-5903
CES9906    | China Eastern Airlines                   | 2026-02-12 00:05     | XMN      | A20N     | B-30CX
CES2172    | China Eastern Airlines                   | 2026-02-12 00:10     | HAK      | A20N     | B-304P
CES2247    | China Eastern Airlines                   | 2026-02-12 00:10     | SZX      | A20N     | B-32C3
CES6168    | China Eastern Airlines                   | 2026-02-12 00:10     | DLC      | A20N     | B-308W
CGN8354    | Air Changan                              | 2026-02-12 00:15     | YIH      | B738     | B-5687
CHH6275    | Hainan Airlines                          | 2026-02-12 00:15     | PEK      | B38M     | B-224J
CES2290    | China Eastern Airlines                   | 2026-02-12 00:15     | WNZ      | A320     | B-6375
CSC3256    | Sichuan Airlines                         | 2026-02-12 00:15     | LXA      | A319     | B-6185
CSZ9280    | Shenzhen Airlines                        | 2026-02-12 00:20     | NNG      | A320     | B-6750
CDC8657    | Loong Air                                | 2026-02-12 00:20     | ENH      | A20N     | B-304Y
GCR7638    | Tianjin Airlines                         | 2026-02-12 00:20     | HGH      | A320     | B-6865
CBJ5035    | Capital Airlines                         | 2026-02-12 00:25     | HCZ      | A319     | B-6179
CES2204    | China Eastern Airlines                   | 2026-02-12 00:25     | KHG      | A21N     | B-32KA
TGW134     | Scoot                                    | 2026-02-12 00:25     | SIN      | A20N     | 9V-TNI
CES6202    | China Eastern Airlines                   | 2026-02-12 00:25     | YZY      | A319     | B-6428
CGN8356    | Air Changan                              | 2026-02-12 00:30     | KHG      | B738     | B-1162
CZ5427     | China Southern Airlines                  | 2026-02-12 00:30     | CSX      | A320     | B-6910
GCR7642    | Tianjin Airlines                         | 2026-02-12 00:30     | HET      | A320     | B-8505
